ep_number,title,location,air_date,guests,tags,synopsis
1,Episode #001 - Times Square,Times Square,2010-07-11,"Hwang Jung-eum, Lee Hyori","bestof2010, chickenfight, clothesrack, couplehat, fiercegirls, peacefulgary, photo","A never-before-seen action variety show with an amazing cast. To start off the first episode, they head over to the Times Square shopping mall in Seoul after closing hours. They will be split into teams and compete in various missions. Stay tuned to see which team emerges victorious."
2,"Episode #002 - Suwon World Cup Stadium, Part 1","Suwon World Cup Stadium, Part 1",2010-07-18,"Goo Hara, Lee Chun-hee, Song Ji-hyo","charades, diving, goldenpig, idol, jumping, money, peacefulgary, photo","In this episode Lee Chun Hee and Goo Hara join in with the cast as they venture through Suwon stadium. The mission in this landmark is to find the ""golden pigs"", which have unknown values."
3,"Episode #003 - Suwon World Cup Stadium, Part 2","Suwon World Cup Stadium, Part 2",2010-07-25,"Goo Hara, Lee Chun-hee, Song Ji-hyo","diving, goldenpig, headphone, idol, money, pool, punishment, scavenger",Continuing on from Episode 2. More fierce games pursue and only 1 team will come out victorious!
4,"Episode #004 - Gwacheon National Science Museum, Part 1","Gwacheon National Science Museum, Part 1",2010-08-01,"Jessica Jung, Nichkhun, Song Ji-hyo","curling, goldenpig, idols, museum, pool, rain, ripnametag, sparta, trilobite","An exciting day at Gwacheon National Science Museum. Guest appearances from Nichkhun and Jessica will make this a spectacle to see. The teams this time are divided into ""Cute"" and ""Sexy""."
5,"Episode #005 - Gwacheon National Science Museum, Part 2","Gwacheon National Science Museum, Part 2",2010-08-08,"Jessica Jung, Nichkhun, Song Ji-hyo","curling, goldenpig, idols, money, peacefulgary, photo, platform, pool","Continuing from ep 4, the 2 teams battle for the rights to leave."
6,Episode #006 - Namsan Tower,Namsan Tower,2010-08-15,"Kim Shin-young, Se7en, Son Dam-bi","badminton, castchange, coffee, drinking, fiercegirls, globe, obstacle, punishment","YG's prince Se7en, singing Queen Son Dam Bi, and funny as ever Kim Shin Young join the cast for this week's episode which takes place in the beautiful Seoul Tower in Namsan."
7,Episode #007 - Sejong Center for the Performing Arts,Sejong Center for the Performing Arts,2010-08-22,"Hahm Eun-jung, Jo Kwon, Jung Yong-hwa","ballerina, couplehat, drinking, hideandseek, idols, lemons, peacefulgary, photo","Taking place in the beautiful Sejong Center of Performing Arts, today we get the young stars Jo Kwon, Jung Yong Hwa and Eun Jeong in the mix."
8,"Episode #008 - Seoul Museum of History, Gyeonghui Palace","Seoul Museum of History, Gyeonghui Palace",2010-08-29,"Lee Joon, Park Jun-gyu, Victoria Song","alarm, bignose, chopsticks, drinking, eggs, hideandseek, hotpants, idols, tugofwar","The landmark for this episode is the Seoul Museum of History. With special guests Victoria, Lee Joon, and Park Jun Gyu, this is one episode not to miss."
9,Episode #009 - Lotte World,Lotte World,2010-09-05,"Kim Su-ro, Lee Hong-gi, Shin Bong-sun","3guests, angryjihyo, balloons, broom, coinflip, docilejongkook, drinking, eggs, karaoke, ladle, mustwatch, nosechan, nosomin, oldepisode, panchiki, personals, spoon, tea","Hilarious episode starring Shin Bong Sun and her boyhood crush Kim Jong Kook. The episode takes place in the land of fantasy, Seoul's famous Lotte World."
10,Episode #010 - National Museum of Contemporary Art,National Museum of Contemporary Art,2010-09-12,"Cha Tae-hyun, Yoon Se-ah","auction, chopsticks, coffee, coins, drawing, framerkwangsoo, gangsterjihyo, runningball, speedwalk, spoon, tossing, unluckyjongkook, unluckyseokjin",Korean bad boy Cha Tae Hyun and sweet girl Yoon Se Ah join the cast for this week's episode which airs at the National Museum of Contemporary Art.
11,Episode #011 - Seoul Central Post Office,Seoul Central Post Office,2010-09-19,"Jung Yong-hwa, Kim Je-dong","1versus, 1vs8, cheaterkwangsoo, coaches, framerkwangsoo, hiddenmissions, ripnametag, runningball, scolding, secretmission, smear, stamping, thief",Return of the young superstar Jung Yong Hwa and funny quirks of Kim Jae Dong. The landmark for this episode centers around Seoul Central Post Office.
12,Episode #012 - Seoul Design Fair @ Seoul Olympic Stadium,Seoul Design Fair @ Seoul Olympic Stadium,2010-09-26,,"1vs8, bells, bomb, donatello, framerkwangsoo, hotpants, ladder, mondaycouple, trivia","Running Man members and guest Song Joong Ki arrive at the Jamsil Olympic Stadium to stop a ticking time bomb. They split up into two teams, Team Mission and Team Pursuit."
13,Episode #013 - SBS Broadcasting Center,SBS Broadcasting Center,2010-10-03,"Jang Dong-min, Lizzy","bestofjaeseok, heroyoo, hideandseek, idol, punishment, runningball, tapes","Guest starring After School's Lizzy and bad boy Jang Dong Min, this week's landmark is no other than the SBS Broadcasting Center."
14,Episode #014 - Boramae Safety Experience Center,Boramae Safety Experience Center,2010-10-17,Lizzy,"1versus, 1vs8, 369, acejihyo, air, bibobibo, framerkwangsoo, hotpants, runningball, secretmission, singing, thief",Busan's country girl Lizzy (from group After School) returns for another exciting episode taking place in Boramae Safety Experience Center.
15,Episode #015 - Seoul Metro Train Depot,Seoul Metro Train Depot,2010-10-24,"Kim Kwang-kyu, Tony An","bestof2010, briefcase, heartrate, hotpants, idol, kiss, lovetrain, mondaycouple","Aigoo, an episode not to miss. This is the infamous ""kiss"" scene episode between Song Ji Hyo and Song Joong Ki! The landmark for this is Seoul Metro Subway Yard."
