ep_number,title,air_date,guests,teams,main_mission,results,is_special,special_type
734,Episode #734 - Resolve to Part Ways with 2024,2025-01-05,Kang Hoon,"Jae-suk Team (Yoo Jae-suk, Haha, Kim Jong-kook, Ji Ye-eun); Seok-jin's Team (Jee Seok-jin, Song Ji-hyo, Yang Se-chan, Kang Hoon)",Keep moving your items to someone else's box to win the prizes.,There are no winners. Yoo Jae-suk and Yang Se-chan chose Kim Jong-kook to write a letter and buy a gift for the owner of the items in their boxes as penalty.,0,
735,Episode #735 - The Lucky 2025,2025-01-12,,"Green Team (Yoo Jae-suk); Blue Team (Haha, Yang Se-chan); Orange Team (Jee Seok-jin, Song Ji-hyo); Pink Team (Kim Jong-kook, Ji Ye-eun)",Defeat the other team.,The mission was won by Green Team and Orange Team. Haha and Ji Ye-eun received the whipped cream penalty through a game of luck.,0,
736,Episode #736 - Team Kill Not Sorry,2025-01-19,"Choi Daniel, Jeon So-min, Kim Ha-yun, Park Hye-jeong","MC Yoo (Yoo Jae-suk); Haha Team (Haha, Yang Se-chan, Ji Ye-eun, Choi Daniel, Jeon So-min); Jong Kook Team (Kim Jong-kook, Jee Seok-jin, Song Ji-hyo, Kim Ha-yun, Park Hye-jeong)",Avoid hitting your name behind the balloon by Yoo Jae-suk's dart to escape the penalty.,"Won by Yoo Jae-suk, Kim Ha-yun and Park Hye-jeong. The rest received the water cannon penalty.",0,
737,Episode #737 - The Blessed Gods Ratio Part.3,2025-01-26,,Teams: (Yoo Jae-suk & Ji Ye-eun)(Haha & Jee Seok-jin)(Song Ji-hyo & Yang Se-chan); Solo: (Kim Jong-kook),"Either complete the words ""Blue Snake"" or obtain the word ""Snake"" to avoid penalty.",Won by Haha and Yoo Jae-suk. The rest had to make a snake lucky bag after filming as a penalty.,0,
738,Episode #738 - The Person Who Laughs in Paradise,2025-02-02,"Kyuhyun, Lee Seok-hoon, Park Eun-tae","Glasses Team (Yoo Jae-suk, Haha, Jee Seok-jin, Lee Seok-hoon); Remained Team (Kim Jong-kook, Yang Se-chan, Kyuhyun); Sister Team (Song Ji-hyo, Ji Ye-eun, Park Eun-tae)",Obtain the most tickets to win the race.,"Won by Yoo Jae-suk with 11 tickets. Penalties: Shredded Paper Shower, Water Shower, and Black Ink Shower distributed among members.",0,
739,Episode #739 - The Chaotic Life of Slaves,2025-02-09,,Yoo Jae-suk as Bucktooth; Haha as Dullard; Jee Seok-jin as Floret; Kim Jong-kook as April; Song Ji-hyo as Brainiac; Yang Se-chan as Dog Turd; Ji Ye-eun as Hunchback,Finish the errands that were given by the master before 4 PM to get off work early.,Mission Accomplished. The members finished the errands 10 minutes before 4 PM.,0,
740,Episode #740 - The Don't Go Family,2025-02-16,"Joo Jong-hyuk, Kim Si-eun","Jae-suk Family (Yoo Jae-suk, Yang Se-chan, Joo Jong-hyuk); Haha Family (Haha, Ji Ye-eun, Kim Si-eun); Seok-jin Family (Jee Seok-jin, Kim Jong-kook, Song Ji-hyo)",Have the most money on their debit card to avoid penalty.,"Won by Jae-suk Family with W245,000. Haha and Kim Si-eun received the whipped cream penalty.",0,
741,Episode #741 - SOS The Cleanup Code: Heroes on Call,2025-02-23,,No teams,Help Kim Jong-kook clean his house and obtain the items that were chosen with his permission.,"Mission Accomplished. Kim Jong-kook received W2,000,000 housewarming gift certificate. Members chose items: Jee Seok-jin - Dior Shoes, Song Ji-hyo - Yeezy slides, Yang Se-chan - Headphone, Ji Ye-eun - Stussy sweatshirt.",0,
742,Episode #742 - Love Consumption,2025-03-02,"Choi Daniel, Kim Ah-young",,Spend all the money.,"There are no winners (total remaining balance W1,697,260). Some members had to give seaweed to citizens after filming as penalty.",0,
743,Episode #743 - 2025 Running Backup Championship,2025-03-09,"Heo Kyung-hwan, Jang Seong-woo, Park Ji-won","Jae-suk Team (Yoo Jae-suk, Song Ji-hyo, Yang Se-chan, Heo Kyung-hwan, Park Ji-won); Jong-kook Team (Kim Jong-kook, Haha, Jee Seok-jin, Ji Ye-eun, Jang Seong-woo)",Have the highest number of stars on their team to avoid penalty.,Won by Jae-suk Team with 50 stars. Bottom three had to do lunges to their cars as penalty.,0,
744,Episode #744 - Going Up the TV Rating Notice,2025-03-16,,No teams,"Main Mission: Avoid filming the TV Rating Notice at the highest mountain. Side Mission: Avoid getting the ""Climb Up"" on the dice.",Mission Accomplished - filmed at 210m height. Members climbed down across multiple dice attempts.,1,TV Rating Notice Special
745,Episode #745 - Recharge After Work,2025-03-23,"Hong Eun-chae, Sakura","Jae-suk Team (Yoo Jae-suk, Jee Seok-jin, Sakura); Haha Team (Haha, Song Ji-hyo, Yang Se-chan); Jong-kook Team (Kim Jong-kook, Ji Ye-eun, Hong Eun-chae)",Be the first two teams to have a video call with the Main PD.,Won by Jae-suk Team & Jong-kook Team. Haha Team untied cables after filming as penalty.,0,
746,Episode #746 - How Did an Imogi Becomes a Dragon,2025-03-30,"Kim Ji-yeon, Yook Sung-jae","Sung-jae Team (Yook Sung-jae, Yoo Jae-suk, Yang Se-chan, Ji Ye-eun); Ji-yeon Team (Kim Ji-yeon, Haha, Jee Seok-jin, Kim Jong-kook, Song Ji-hyo)",Have the highest amount of cintamani level on their team without being the lowest individual level to avoid penalty.,Won by Sung-jae Team. Losers flew a dragon-shaped kite after filming as penalty.,0,
747,Episode #747 - He Said We're New Family,2025-04-06,,"Jae-suk Team (Yoo Jae-suk, Haha, Ji Ye-eun, Choi Daniel); Jong-kook Team (Kim Jong-kook, Jee Seok-jin, Song Ji-hyo, Yang Se-chan)",Have the most amount of money while not forcing Choi Daniel to hurry to avoid losing money.,Won by Jong-kook Team. Jae-suk Team picked strawberries at a local farm as penalty.,0,
748,Episode #748 - Determination to Drive,2025-04-13,,,Help Ji Ye-eun learn how to drive.,Mission Accomplished.,0,
749,Episode #749 - Merchant Chronicles: You Have to Earn to Live,2025-04-20,,"Jae-suk Team (Yoo Jae-suk, Jee Seok-jin, Ji Ye-eun, Choi Daniel); Jong-kook Team (Kim Jong-kook, Haha, Song Ji-hyo, Yang Se-chan)",Have the most profit to avoid penalty.,Won by Jong-kook Team (300 dollar Onnuri Gift Certificates). Jae-suk Team smashed gourds as penalty.,0,
750,Episode #750 - A Good Day for being Solo,2025-04-27,"Kai, Kim Ah-young",First Couple Teams + Solo (Kai); Second Couple Teams + Solo (Ji Ye-eun),Avoid getting selected by the production team to escape the penalty.,"Won by Kai (box of jjajang ramyeon). Paired members received various penalties (finger flick, ink stamp, cold water splash).",1,Black Day Special
751,"Episode #751 - The More You Shoot, The More You Succeed",2025-05-04,,Ttuk Kook AI Startup CEOs (Yoo Jae-suk & Kim Jong-kook); Exciting Math Education (Haha & Choi Daniel); Meat Deboning Machine (Jee Seok-jin & Yang Se-chan); Shoulder Pad (Song Ji-hyo & Ji Ye-eun),Have the most national heritage stamps to win the race.,"Won by Ttuk Kook AI and Exciting Math Education CEOs. Losers got ""get off work"" stamp at Sanjeong Lake as penalty.",0,
752,Episode #752 - Killers' Territory Marking,2025-05-11,"Son Ho-jun, Yoo Seung-ho","Grasshopper Gang (Yoo Jae-suk, Haha, Song Ji-hyo, Choi Daniel, Yoo Seung-ho); Tiger Gang (Kim Jong-kook, Jee Seok-jin, Yang Se-chan, Ji Ye-eun, Son Ho-jun)",Have the most territory to avoid penalty.,Won by Grasshopper Gang. Water gun and ink water gun penalties distributed.,0,
